d,agent_energy0,pred_energy0,speed,seed,comparison,base,other,base_outcome,other_outcome,base_event_time,other_event_time,common_alive_ticks,delta_event_time_other_minus_base,dE_agent_t1,dSep_t1,dPredDispAlongEscape_t1,dE_agent_t5,dSep_t5,dPredDispAlongEscape_t5,dE_agent_t10,dSep_t10,dPredDispAlongEscape_t10,dE_agent_t20,dSep_t20,dPredDispAlongEscape_t20,dE_agent_t29,dSep_t29,dPredDispAlongEscape_t29
80,150,101,15,1,minus15_minus_0,delta0,D-15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,1,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.9,17.9,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,2,plus15_minus_0,delta0,D+15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,2,minus15_minus_0,delta0,D-15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,2,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.9,17.9,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,0,plus15_minus_0,delta0,D+15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,0,minus15_minus_0,delta0,D-15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,0,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.5,17.5,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-9.094947017729282e-13,9.094947017729282e-13,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,1,plus15_minus_0,delta0,D+15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,1,minus15_minus_0,delta0,D-15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,1,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.5,17.5,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-9.094947017729282e-13,9.094947017729282e-13,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,2,plus15_minus_0,delta0,D+15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,2,minus15_minus_0,delta0,D-15,captured,energy_death,6.0,17.5,59,11.5,-0.10228268265308316,40.18773177383363,-21.52277873985713,-0.18261652114901494,64.51562844921196,-25.747784053333817,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,20,2,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.5,17.5,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-9.094947017729282e-13,9.094947017729282e-13,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,0,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,0,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,0,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,1,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,1,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,1,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,2,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,2,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,2,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,0,plus15_minus_0,delta0,D+15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,0,minus15_minus_0,delta0,D-15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,0,plus15_vs_minus15,D+15,D-15,captured,captured,4.1,4.1,40,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,1,plus15_minus_0,delta0,D+15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,1,minus15_minus_0,delta0,D-15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,1,plus15_vs_minus15,D+15,D-15,captured,captured,4.1,4.1,40,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,2,plus15_minus_0,delta0,D+15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,2,minus15_minus_0,delta0,D-15,captured,captured,3.1,4.1,30,1.0,-0.11876992759472671,39.09190376609776,-18.179236204473455,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,2,plus15_vs_minus15,D+15,D-15,captured,captured,4.1,4.1,40,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,0,plus15_minus_0,delta0,D+15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,0,minus15_minus_0,delta0,D-15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,0,plus15_vs_minus15,D+15,D-15,captured,captured,4.4,4.4,43,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,1,plus15_minus_0,delta0,D+15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,1,minus15_minus_0,delta0,D-15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,1,plus15_vs_minus15,D+15,D-15,captured,captured,4.4,4.4,43,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,2,plus15_minus_0,delta0,D+15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,2,minus15_minus_0,delta0,D-15,captured,captured,3.2,4.4,31,1.2,-0.10228268265308316,40.18773177383363,-21.52277873985713,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,20,2,plus15_vs_minus15,D+15,D-15,captured,captured,4.4,4.4,43,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,0,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,0,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,0,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,1,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,1,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,1,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,2,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,2,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,2,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,15,0,plus15_minus_0,delta0,D+15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.31973360826879,-29.733025113677286,-0.16835876369916036,215.44266990563943,-162.07522343284472,-0.16835876369916036,548.1822742960958,-356.89693643293504,not both alive,not both alive,not both alive
80,300,101,15,0,minus15_minus_0,delta0,D-15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.62148098207919,-31.21370620767084,-0.16835876369916036,102.28074725427348,-84.84421896997173,-0.16835876369916036,-85.1465156556975,39.14542937882561,not both alive,not both alive,not both alive
80,300,101,15,0,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,22.9,22.9,229,0.0,0.0,0.0,0.0,0.0,0.3017473738104002,-1.480681093993553,0.0,-113.16192265136596,77.23100446287299,0.0,-633.3287899517933,396.04236581176065,not both alive,not both alive,not both alive
80,300,101,15,1,plus15_minus_0,delta0,D+15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.324050443307954,-29.767725965615682,-0.16835876369916036,202.76682490967585,-163.36074127451684,-0.16835876369916036,736.338847912662,-455.0482012187249,not both alive,not both alive,not both alive
80,300,101,15,1,minus15_minus_0,delta0,D-15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.61068558260098,-31.174232426938033,-0.16835876369916036,69.61977366894143,-72.50778779392022,-0.16835876369916036,166.59100885469206,-103.68962675190232,not both alive,not both alive,not both alive
80,300,101,15,1,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,22.9,22.9,229,0.0,0.0,0.0,0.0,0.0,0.28663513929302553,-1.4065064613223512,0.0,-133.1470512407344,90.85295348059663,0.0,-569.7478390579699,351.3585744668226,not both alive,not both alive,not both alive
80,300,101,15,2,plus15_minus_0,delta0,D+15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.54760497809568,-30.92776915678587,-0.16835876369916036,255.17539749358315,-189.71852843739816,-0.16835876369916036,663.6513641152792,-379.07580434600095,not both alive,not both alive,not both alive
80,300,101,15,2,minus15_minus_0,delta0,D-15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.16835876369916036,61.35692872747782,-29.992186449507244,-0.16835876369916036,55.50202347368196,-50.960587145903446,-0.16835876369916036,284.1640058181366,-146.67319016174133,not both alive,not both alive,not both alive
80,300,101,15,2,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,22.9,22.9,229,0.0,0.0,0.0,0.0,0.0,-0.1906762506178552,0.9355827072786269,0.0,-199.6733740199012,138.75794129149472,0.0,-379.4873582971426,232.40261418425962,not both alive,not both alive,not both alive
80,300,101,20,0,plus15_minus_0,delta0,D+15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,97.01557070304756,-95.25978962473437,-0.10960236388575595,328.1899139759787,-178.62900613299462,-0.10960236388575595,832.3897441890915,-457.7469306971261,not both alive,not both alive,not both alive
80,300,101,20,0,minus15_minus_0,delta0,D-15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,93.46832512642663,-92.34161465589659,-0.10960236388575595,152.64938236068087,-82.50021034567362,-0.10960236388575595,253.94939587946055,-143.7262528502697,not both alive,not both alive,not both alive
80,300,101,20,0,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,20.0,20.0,200,0.0,0.0,0.0,0.0,0.0,-3.5472455766209237,2.918174968837775,0.0,-175.54053161529782,96.128795787321,0.0,-578.440348309631,314.0206778468564,not both alive,not both alive,not both alive
80,300,101,20,1,plus15_minus_0,delta0,D+15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,56.55507212475851,-52.311021141515084,-0.10960236388575595,1.2740435345999686,-12.789334065189905,-0.10960236388575595,-40.94533228405032,-28.350099468556436,not both alive,not both alive,not both alive
80,300,101,20,1,minus15_minus_0,delta0,D-15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,198.3544908029508,-178.94550763253392,-0.10960236388575595,554.9517244688423,-344.18081677297505,-0.10960236388575595,1106.0495488313832,-703.5800443947219,not both alive,not both alive,not both alive
80,300,101,20,1,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,20.0,20.0,200,0.0,0.0,0.0,0.0,0.0,141.7994186781923,-126.63448649101883,0.0,553.6776809342423,-331.39148270778514,0.0,1146.9948811154334,-675.2299449261654,not both alive,not both alive,not both alive
80,300,101,20,2,plus15_minus_0,delta0,D+15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,57.36586204567624,-54.23443331227918,-0.10960236388575595,134.8980550397476,-85.06403815890644,-0.10960236388575595,356.8363964747258,-220.12007073552104,not both alive,not both alive,not both alive
80,300,101,20,2,minus15_minus_0,delta0,D-15,energy_death,energy_death,20.1,20.0,200,-0.1,-0.10228268265319684,39.34085979594215,-21.64802990595581,-0.10960236388575595,190.6950615795206,-172.18348658021205,-0.10960236388575595,258.69976437377505,-153.7917805428051,-0.10960236388575595,380.49617706286256,-232.857702814993,not both alive,not both alive,not both alive
80,300,101,20,2,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,20.0,20.0,200,0.0,0.0,0.0,0.0,0.0,133.32919953384436,-117.94905326793287,0.0,123.80170933402746,-68.72774238389866,0.0,23.659780588136755,-12.73763207947195,not both alive,not both alive,not both alive
80,300,200,10,0,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,0,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,0,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,1,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,1,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,1,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,2,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,2,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345863673,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,10,2,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,200,15,0,plus15_minus_0,delta0,D+15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.1643673226718363,71.85790591129128,-21.155165816950102,-0.18431598928152937,71.34094785669386,-21.642307183807134,-0.30484348305544273,124.13678804209218,-96.02300073548122,not both alive,not both alive,not both alive
80,300,200,15,0,minus15_minus_0,delta0,D-15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.1643673226718363,71.85790591129128,-21.155165816950102,-0.18431598928152937,71.34094785669386,-21.642307183807134,-0.30484348305544273,128.62751538632483,-99.1147882988007,not both alive,not both alive,not both alive
80,300,200,15,0,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,22.9,22.9,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.490727344232653,-3.0917875633194853,not both alive,not both alive,not both alive
80,300,200,15,1,plus15_minus_0,delta0,D+15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.1643673226718363,71.85790591129128,-21.155165816950102,-0.18431598928152937,71.34094785669386,-21.642307183807134,-0.30484348305544273,66.05226063507433,-59.566657684795246,not both alive,not both alive,not both alive
80,300,200,15,1,minus15_minus_0,delta0,D-15,energy_death,energy_death,23.0,22.9,229,-0.1,-0.11876992759476934,39.09190376609776,-18.179236204473455,-0.1643673226718363,71.85790591129128,-21.155165816950102,-0.18431598928152937,71.34094785669386,-21.642307183807134,-0.30484348305544273,172.46535187881898,-133.62361290528042,not both alive,not both alive,not both alive
80,300,200,15,1,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,22.9,22.9,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.41309124374465,-74.05695522048518,not both alive,not both alive,not both alive
